Date,Price,Open,High,Low
2014-04-01,36.11,35.5,36.29,34.76
2014-04-02,36.31,36.27,36.44,35.91
2014-04-03,35.86,36.27,37.07,35.51
2014-04-04,36.17,36.03,36.4,35.59
2014-04-07,36.53,36.53,36.81,35.85
2014-04-09,37.69,36.85,37.8,36.81
2014-04-10,37.51,37.67,38.2,37.01
2014-04-11,37.8,37.44,38.08,36.99
2014-04-15,36.75,37.89,38.19,36.63
2014-04-16,37.23,36.82,37.48,36.48
2014-04-17,37.69,37.16,37.78,37.03
2014-04-21,38.09,37.71,38.28,37.58
2014-04-22,37.89,38.0,38.13,37.62
2014-04-23,38.39,37.97,38.6,37.82
2014-04-25,38.36,38.51,38.94,38.03
2014-04-28,38.33,38.34,38.87,38.15
2014-04-29,36.49,38.49,38.61,36.37
2014-04-30,36.05,36.57,36.67,35.4
2014-05-02,35.16,36.34,36.58,34.99
2014-05-05,35.75,35.25,36.32,34.98
2014-05-06,36.07,36.02,36.36,35.86
2014-05-07,35.99,36.06,36.3,35.68
2014-05-08,36.2,36.22,36.55,35.91
2014-05-09,37.52,36.07,37.86,35.91
2014-05-12,37.82,37.52,38.43,37.48
2014-05-13,38.42,38.25,39.71,37.92
2014-05-14,40.69,38.7,40.9,38.7
2014-05-15,41.46,41.03,42.11,40.59
2014-05-16,39.64,42.38,43.63,38.54
2014-05-19,40.61,39.87,41.43,39.26
2014-05-20,42.02,41.01,42.62,40.87
2014-05-21,41.61,42.11,42.34,41.18
2014-05-22,42.39,41.98,42.96,41.89
2014-05-23,42.97,42.45,43.46,42.3
2014-05-26,42.15,43.33,44.54,40.95
2014-05-27,42.9,42.11,43.01,41.57
2014-05-28,42.18,43.19,43.52,42.03
2014-05-29,41.9,42.38,42.67,41.71
2014-05-30,42.74,42.11,42.87,41.71
2014-06-02,44.35,42.92,44.63,42.47
2014-06-03,47.31,44.81,47.44,44.68
2014-06-04,48.29,47.51,48.89,47.28
2014-06-05,49.95,48.37,50.27,48.37
2014-06-06,50.42,50.51,51.19,49.71
2014-06-09,51.63,50.69,52.07,50.42
2014-06-10,50.29,51.74,51.83,49.8
2014-06-11,49.42,50.39,50.89,49.07
2014-06-12,49.49,49.45,50.16,48.94
2014-06-13,47.31,49.49,49.76,47.11
2014-06-16,47.23,47.29,47.67,46.12
2014-06-17,47.88,47.16,48.05,46.25
2014-06-18,46.98,48.14,48.58,46.64
2014-06-19,46.73,47.26,47.34,46.34
2014-06-20,46.77,46.79,48.04,46.61
2014-06-23,47.42,46.83,47.56,46.83
2014-06-24,47.91,47.51,48.22,47.47
2014-06-25,47.77,47.96,48.4,47.69
2014-06-26,47.32,47.95,48.25,47.15
2014-06-27,46.75,47.54,47.78,46.55
2014-06-30,47.54,46.84,47.74,46.79
2014-07-01,48.72,47.69,49.08,47.69
2014-07-02,48.92,49.18,49.49,48.82
2014-07-03,48.53,49.08,49.4,48.41
2014-07-04,48.27,48.77,49.0,47.84
2014-07-07,48.24,48.24,48.88,48.08
2014-07-08,46.19,48.35,48.55,45.89
2014-07-09,46.55,46.31,47.36,46.01
2014-07-10,46.96,46.73,48.36,45.93
2014-07-11,45.08,46.88,47.15,44.91
2014-07-14,46.25,44.72,46.56,44.42
2014-07-15,47.36,46.64,47.6,46.27
2014-07-16,48.84,47.6,49.12,47.29
2014-07-17,50.29,48.86,50.38,48.63
2014-07-18,50.57,50.17,51.1,49.44
2014-07-21,50.58,50.84,51.43,50.42
2014-07-22,50.58,50.92,51.19,49.99
2014-07-23,49.94,50.8,50.94,49.51
2014-07-24,51.03,50.09,51.38,49.8
2014-07-25,50.14,51.3,51.64,49.67
2014-07-28,49.27,50.41,50.75,48.99
2014-07-30,49.03,49.65,49.66,48.35
2014-07-31,49.8,49.04,50.56,48.89
2014-08-01,49.42,49.31,50.84,49.03
2014-08-04,49.58,49.74,50.13,48.95
2014-08-05,50.55,49.94,50.92,49.02
2014-08-06,49.51,50.74,51.16,49.37
2014-08-07,49.98,49.76,50.56,49.64
2014-08-08,48.37,49.66,49.66,48.15
2014-08-11,48.13,49.13,49.13,47.7
