"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","151.50","148.05","152.75","148.60","4.67M","0.90%"
"03/21/2024","150.15","148.05","151.15","147.90","5.50M","3.05%"
"03/20/2024","145.70","149.70","150.70","143.85","4.00M","-1.98%"
"03/19/2024","148.65","149.55","152.55","147.55","5.11M","-0.64%"
"03/18/2024","149.60","143.85","150.25","142.20","5.05M","5.69%"
"03/15/2024","141.55","143.30","143.65","139.85","6.34M","-0.67%"
"03/14/2024","142.50","143.80","143.80","138.40","3.61M","-0.70%"
"03/13/2024","143.50","152.50","153.00","142.50","2.64M","-5.87%"
"03/12/2024","152.45","154.50","154.50","150.90","2.80M","-0.68%"
"03/11/2024","153.50","159.50","159.50","153.05","3.50M","-2.32%"
"03/07/2024","157.15","152.50","159.15","152.35","5.83M","3.83%"
"03/06/2024","151.35","151.95","152.65","147.90","3.54M","-0.33%"
"03/05/2024","151.85","153.85","154.00","150.80","2.67M","-0.82%"
"03/04/2024","153.10","155.25","155.25","151.05","3.59M","-1.32%"
"03/02/2024","155.15","152.00","156.05","151.00","1.43M","3.43%"
"03/01/2024","150.00","142.05","150.65","142.05","10.09M","6.46%"
"02/29/2024","140.90","140.90","141.75","139.35","2.35M","0.11%"
"02/28/2024","140.75","143.75","144.95","140.10","1.01M","-2.36%"
"02/27/2024","144.15","143.80","145.85","142.00","1.43M","1.09%"
"02/26/2024","142.60","146.00","146.00","142.25","1.78M","-1.99%"
"02/23/2024","145.50","146.90","147.10","144.95","1.95M","-0.24%"
"02/22/2024","145.85","145.15","146.15","143.50","1.80M","1.39%"
"02/21/2024","143.85","141.70","146.00","141.50","5.13M","1.99%"
"02/20/2024","141.05","141.90","142.00","140.05","930.05K","-0.60%"
"02/19/2024","141.90","143.05","143.20","141.30","1.67M","-0.32%"
"02/16/2024","142.35","141.95","143.45","141.45","2.43M","0.81%"
"02/15/2024","141.20","141.95","143.45","140.95","1.09M","0.04%"
"02/14/2024","141.15","136.80","141.50","135.75","2.34M","2.36%"
"02/13/2024","137.90","137.60","138.25","134.10","2.26M","0.36%"
"02/12/2024","137.40","142.25","142.95","136.70","2.75M","-2.76%"
"02/09/2024","141.30","144.45","144.45","139.10","3.56M","-1.67%"
"02/08/2024","143.70","146.10","146.10","143.05","1.60M","-0.45%"
"02/07/2024","144.35","147.00","147.35","144.00","4.42M","-0.24%"
"02/06/2024","144.70","143.10","145.10","140.40","2.16M","2.26%"
"02/05/2024","141.50","140.00","143.30","139.40","8.01M","2.02%"
"02/02/2024","138.70","135.05","139.60","134.90","4.58M","2.89%"
"02/01/2024","134.80","136.80","136.80","134.50","2.61M","-0.81%"
"01/31/2024","135.90","135.00","136.70","134.45","2.94M","0.89%"
"01/30/2024","134.70","135.50","137.70","134.50","3.86M","-0.22%"
"01/29/2024","135.00","135.70","135.70","133.50","2.65M","1.01%"
"01/25/2024","133.65","136.30","136.30","132.00","4.75M","-1.11%"
"01/24/2024","135.15","131.95","135.45","130.20","4.11M","3.88%"
"01/23/2024","130.10","135.10","135.20","129.50","2.02M","-2.84%"
"01/20/2024","133.90","134.95","135.20","133.30","808.73K","-0.22%"
"01/19/2024","134.20","132.60","134.70","131.70","4.40M","2.40%"
"01/18/2024","131.05","131.85","132.25","128.10","3.38M","-0.46%"
"01/17/2024","131.65","136.35","136.35","131.50","4.87M","-4.08%"
"01/16/2024","137.25","134.65","138.50","134.05","6.57M","1.70%"
"01/15/2024","134.95","136.25","136.25","134.00","3.26M","-0.26%"
"01/12/2024","135.30","135.95","136.20","134.65","4.62M","0.30%"
"01/11/2024","134.90","135.00","135.75","134.15","3.26M","0.60%"
"01/10/2024","134.10","134.00","134.75","132.10","4.17M","0.34%"
"01/09/2024","133.65","133.50","134.70","132.50","3.34M","1.21%"
"01/08/2024","132.05","135.45","135.90","131.80","3.62M","-1.20%"
"01/05/2024","133.65","135.15","135.95","132.90","3.97M","-0.45%"
"01/04/2024","134.25","136.95","136.95","134.00","1.94M","-0.78%"
"01/03/2024","135.30","139.65","139.65","134.35","1.98M","-3.05%"
"01/02/2024","139.55","140.50","140.50","137.05","2.59M","-0.25%"
"01/01/2024","139.90","142.15","142.15","139.00","1.60M","0.29%"
"12/29/2023","139.50","138.85","141.20","137.15","5.05M","0.98%"
"12/28/2023","138.15","138.75","138.80","136.90","2.20M","0.73%"
"12/27/2023","137.15","136.15","138.80","135.55","4.19M","1.44%"
"12/26/2023","135.20","134.95","136.10","134.50","1.91M","1.27%"
"12/22/2023","133.50","132.50","134.70","131.65","3.47M","1.91%"
"12/21/2023","131.00","128.90","131.40","127.80","3.16M","1.00%"
"12/20/2023","129.70","135.90","136.00","128.70","4.18M","-4.21%"
"12/19/2023","135.40","137.25","137.55","134.80","2.86M","-0.88%"
"12/18/2023","136.60","137.20","137.65","135.10","2.18M","0.15%"
"12/15/2023","136.40","133.05","136.70","133.05","6.99M","3.33%"
"12/14/2023","132.00","131.65","133.25","131.40","1.94M","0.49%"
"12/13/2023","131.35","130.70","131.55","129.15","2.50M","0.92%"
"12/12/2023","130.15","130.10","132.10","129.70","2.86M","0.08%"
"12/11/2023","130.05","129.70","130.50","128.70","3.33M","0.66%"
"12/08/2023","129.20","130.35","131.40","127.90","3.45M","-0.62%"
"12/07/2023","130.00","131.95","132.20","129.75","1.54M","-1.37%"
"12/06/2023","131.80","132.25","133.35","130.80","4.09M","0.15%"
"12/05/2023","131.60","131.15","132.50","130.00","1.36M","0.50%"
"12/04/2023","130.95","132.45","132.45","130.40","1.67M","0.77%"
"12/01/2023","129.95","128.60","130.35","127.95","4.00M","1.56%"
"11/30/2023","127.95","127.95","128.80","126.50","1.01M","0.20%"
"11/29/2023","127.70","127.05","128.15","126.75","1.62M","0.67%"
"11/28/2023","126.85","126.75","127.00","126.00","798.11K","0.75%"
"11/24/2023","125.90","126.60","127.05","125.55","1.40M","-0.63%"
"11/23/2023","126.70","126.20","127.40","125.90","3.49M","0.48%"
"11/22/2023","126.10","126.50","126.90","125.40","1.40M","-0.12%"
"11/21/2023","126.25","124.95","126.35","124.95","2.62M","1.45%"
"11/20/2023","124.45","125.15","125.65","124.05","1.76M","-0.56%"
"11/17/2023","125.15","124.70","126.00","124.30","2.65M","0.36%"
"11/16/2023","124.70","124.00","125.25","123.00","1.19M","0.56%"
"11/15/2023","124.00","121.55","124.35","121.55","1.71M","2.52%"
"11/13/2023","120.95","121.00","121.25","119.95","1.36M","0.08%"
"11/12/2023","120.85","121.90","121.90","120.65","605.38K","0.62%"
"11/10/2023","120.10","119.65","120.45","118.80","2.71M","0.33%"
"11/09/2023","119.70","119.40","120.50","118.85","1.42M","0.55%"
"11/08/2023","119.05","119.95","120.45","118.55","1.44M","-0.58%"
"11/07/2023","119.75","119.40","120.20","118.40","2.21M","0.29%"
"11/06/2023","119.40","118.90","119.65","117.50","2.09M","1.79%"
"11/03/2023","117.30","118.30","118.60","117.05","3.97M","-0.72%"
"11/02/2023","118.15","114.25","118.60","114.25","2.77M","1.33%"
"11/01/2023","116.60","119.00","119.10","116.00","1.91M","-1.81%"
"10/31/2023","118.75","119.75","120.15","118.40","1.38M","-0.34%"
"10/30/2023","119.15","121.05","121.25","118.95","1.30M","-0.63%"
"10/27/2023","119.90","120.30","121.65","119.50","2.04M","0.00%"
"10/26/2023","119.90","121.20","121.20","118.85","2.74M","-1.19%"
"10/25/2023","121.35","120.50","122.80","120.50","2.11M","1.12%"
"10/23/2023","120.00","123.65","123.65","119.70","2.55M","-2.52%"
"10/20/2023","123.10","125.10","125.75","122.80","1.69M","-2.22%"
"10/19/2023","125.90","125.75","126.45","124.35","1.70M","-0.94%"
"10/18/2023","127.10","128.25","128.75","126.65","1.11M","-0.20%"
"10/17/2023","127.35","127.80","128.55","127.05","2.37M","0.28%"
"10/16/2023","127.00","125.10","127.25","125.00","1.54M","1.60%"
"10/13/2023","125.00","125.25","125.75","124.20","1.30M","-0.68%"
"10/12/2023","125.85","125.85","126.90","125.15","1.61M","0.72%"
"10/11/2023","124.95","126.00","126.35","124.75","1.39M","-0.24%"
"10/10/2023","125.25","124.35","125.90","123.75","1.61M","1.17%"
"10/09/2023","123.80","124.65","124.85","122.50","2.22M","-1.67%"
"10/06/2023","125.90","126.15","127.00","125.10","1.71M","0.52%"
"10/05/2023","125.25","126.45","126.45","124.50","1.60M","-0.04%"
"10/04/2023","125.30","127.70","127.70","124.55","1.73M","-2.11%"
"10/03/2023","128.00","129.00","129.00","127.25","1.89M","-0.78%"
"09/29/2023","129.00","128.05","129.60","127.60","1.95M","1.78%"
"09/28/2023","126.75","128.45","129.35","126.30","1.84M","-1.09%"
"09/27/2023","128.15","128.95","128.95","126.70","1.49M","-0.54%"
"09/26/2023","128.85","129.70","130.55","128.50","2.40M","1.18%"
"09/25/2023","127.35","127.05","128.30","126.15","1.24M","0.51%"
"09/22/2023","126.70","127.25","128.65","125.50","2.21M","-0.86%"
"09/21/2023","127.80","128.30","129.25","127.25","2.22M","-0.39%"
"09/20/2023","128.30","130.45","131.80","128.00","3.51M","-1.65%"
"09/18/2023","130.45","134.75","134.85","130.10","4.14M","-1.21%"
"09/15/2023","132.05","132.80","133.30","129.90","2.05M","0.30%"
"09/14/2023","131.65","131.00","134.25","130.65","2.58M","1.66%"
"09/13/2023","129.50","129.80","130.45","127.75","1.30M","0.50%"
"09/12/2023","128.85","132.65","133.20","128.65","1.81M","-1.68%"
"09/11/2023","131.05","129.50","131.85","129.20","3.07M","1.16%"
"09/08/2023","129.55","131.15","131.60","129.20","2.32M","-0.46%"
"09/07/2023","130.15","129.85","130.80","128.60","1.13M","0.50%"
"09/06/2023","129.50","132.40","132.45","128.20","2.41M","-1.67%"
"09/05/2023","131.70","131.70","132.40","128.90","1.92M","0.00%"
